Cree,English
acahkosak,stars
achimēwak,they are telling a story about him
achimoh,tell a story
achimostamawâw,a story is told to him/her
achimostaw,tell him a story
achimostawāw,he is told a story
achimostawēw,she is telling him/them a story
achimostawēwak,they are telling him/them a story
achimostawihk,all of you tell him a story
achimostawik,all of you tell me a story
achimostawin,tell me a story
achimostawinan,tell us a story
achimâw,a story is told about him
achiwinam,he shrinks it with his hands
achiwpayin,it shrunk
achiwpayin,it shrinks
achiwīpayiw,he shrinks
acim,tell about him
acimosisak,puppies
acosis,arrow
acoskewinisa,small chores
acoskēwinis,a small chore
ahāw,a reply indicating agreement
ahcanis,a ring
ahcānisak,rings for the finger
ahchi,a change in time/movement/place
ahchipiko,nevertheless
ahēw,he placed him
ahēwak,they placed him/them there
ahih,place him
ahihk,all of you put him there
ahik,all of you place me here
ahin,put
ahin,place me
ahkamēyihtam,he keeps on thinking of what needs to be done
ahkamēyimoh,try harder
ahkamēyimōk,all of you try hard and persevere
ahkwachāw,it is frozen
ahkwakamin,it is a strong bitter liquid
ahkwan,it is painful
ahkwatihtā,freeze it
ahkwatin,it is frozen
ahkwātisōwin,the state of being difficult
ahpō,or
ahpō,either
ahtastā,place it elsewhere
ahtoskēwo' kamik,the band office
akahkway,blood sucker
akahkwayak,blood suckers leeches and snails
akawatamowin,a wish
akayāsemoh,speak english
akayāsemōwin,speaking english
akāwācikēwin,being enticed by something/someone
akāwāstēskamok,all of you shade it by standing before it
akihchike,count
akihcikēwin,performing numerical calculations
akihta,count those things
akihtamaw,count for him
akihtāsowin,a number
akihtāsowin,a figure
akihtāsōna,numbers
akihtāsōna,figures
akim,count them
akos,hang him
akoskôwahchikē,glue things together
akotā,hang it
akotā,hang it up
akwaha,pin it to the wall
akwahpisōwin,a act of putting on a bandage
akwamohcikēwin,applying something
akwana,cover him
akwanahikana,covers for something
akwānahā,cover it
akwâna,take it out of the liquid
amaciwēnēkānohtēwin,leading the way up
amisk,a beaver
amiskosākahikan,beaver lake
amiskwak,beavers
amiskwayān,beaver pelt
amiskwayāna,beaver pelts
amiskwayiwa,beaver tails
anāskāna,sheets
