word,translation,audiourl
acahkosak,stars,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/17312d78-3597-4a82-8f95-7b86aeb39c21/456a.mp3
achimēwak,They are telling a story about him.,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/de558800-7ccf-4ff0-88ea-f64a7fae5bc8/530a.mp3
achimoh,Tell a story!,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/a8e2607c-ecfc-4429-af56-cef6e1a3bdcf/299a.mp3
achimostamawâw,A story is told to him/her,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/abf73689-e4a8-42e1-8591-f4aa1bff82fe/970a.mp3
achimostaw,Tell him a story.,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/231ce741-0e05-4111-a527-f888d82a5ccf/571a.mp3
achimostawāw,He is told a story,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/3b816602-deb1-4e70-9e73-69d59bac4254/951a.mp3
achimostawēw,She is telling him or them a story.,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/d5ae5f07-6e60-48b4-8f57-549032736188/841a.mp3
achimostawēwak,They are telling him or them a story.,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/190991d9-0e09-4088-84b1-9929f78df415/958a.mp3
achimostawihk,All of you tell him a story.,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/420d17bc-890b-42fe-b16f-3bec7fac1380/892a.mp3
achimostawik,All. of you tell me a story,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/eb3b0817-4805-4743-bf5a-eab351e2b418/820a.mp3
achimostawin,Tell me a story.,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/d48b3c08-de5d-494c-9053-f5275fd9fcb1/821a.mp3
achimostawinan,Tell us a story,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/54542494-2fd8-460d-b4ee-20a462d6b2c6/943a.mp3
achimâw,A story is told about him.,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/c5f5fffc-971f-485b-8c4f-cf247296d5ae/340a.mp3
achiwinam,He shrinks (or decreases) it with his hands.,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/eafbb08b-0317-4635-835a-ddf25b9714d9/558a.mp3
achiwpayin,It shrunk or it shrinks,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/6706820b-f403-4d0a-92a1-12273f85a02c/616a.mp3
achiwīpayiw,He shrinks (shrunk).,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/6281f1e5-8e33-4574-b152-35212ddd11f6/710a.mp3
acim,Tell about him.,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/3c180257-7031-4df4-bc52-abebc7083184/33a.mp3
acimosisak,Puppies,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/202b88db-9f9d-4471-85ce-d2f4cc891cc7/658a.mp3
acosis,Arrow,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/28ade1f7-30da-4d8e-8bea-37b31edd4136/191a.mp3
acoskewinisa,small chores,
acoskēwinis,A small chore,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/eb68ec84-b0e8-43b9-a1cb-d6df6ae5217f/731a.mp3
