word,translation,audio
acahkosak,stars,acahkosak.mp3
achimēwak,They are telling a story about him.,achimēwak.mp3
achimoh,Tell a story!,achimoh.mp3
achimostamawâw,A story is told to him/her,achimostamawâw.mp3
achimostaw,Tell him a story.,achimostaw.mp3
achimostawāw,He is told a story,achimostawāw.mp3
achimostawēw,She is telling him or them a story.,achimostawēw.mp3
achimostawēwak,They are telling him or them a story.,achimostawēwak.mp3
achimostawihk,All of you tell him a story.,achimostawihk.mp3
achimostawik,All. of you tell me a story,achimostawik.mp3
achimostawin,Tell me a story.,achimostawin.mp3
achimostawinan,Tell us a story,achimostawinan.mp3
achimâw,A story is told about him.,achimâw.mp3
achiwinam,He shrinks (or decreases) it with his hands.,achiwinam.mp3
achiwpayin,It shrunk or it shrinks,achiwpayin.mp3
achiwīpayiw,He shrinks (shrunk).,achiwīpayiw.mp3
acim,Tell about him.,acim.mp3
acimosisak,Puppies,acimosisak.mp3
acosis,Arrow,acosis.mp3
acoskewinisa,small chores,
acoskēwinis,A small chore,acoskēwinis.mp3
ahāw,a reply means someone is in agreement,ahāw.mp3
ahcanis,A Ring,ahcanis.mp3
ahcānisak,Rings for the finger,ahcānisak.mp3
ahchi,In spite of .(change because of something done onpurpose),ahchi.mp3
ahchi,"a change in time, movement or place.",ahchi.mp3
ahchipiko,neverthe less (still...) (Even though,ahchipiko.mp3
ahēw,He placed him.,ahēw.mp3
ahēwak,They placed him/them there.,ahēwak.mp3
ahih,Place him.,ahih.mp3
ahihk,All of you put him there.,ahihk.mp3
ahik,All of you place me here.,ahik.mp3
ahin,Put or place me...(as in there),ahin.mp3
ahkamēyihtam,He keeps on thinking of what needs to be done.,ahkamēyihtam.mp3
ahkamēyimoh,Try harder.,ahkamēyimoh.mp3
ahkamēyimōk,"All of you try hard, persevere.",ahkamēyimōk.mp3
ahkwachāw,It is frozen.,ahkwachāw.mp3
ahkwakamin,"It is a strong, bitter liquid.",ahkwakamin.mp3
ahkwan,It is painful.,ahkwan.mp3
ahkwatihtā,Freeze it.,ahkwatihtā.mp3
ahkwatin,It is frozen.,ahkwatin.mp3
ahkwātisōwin,The state of being difficult,ahkwātisōwin.mp3
ahpō,or /either also used as ahpō ētikwē (ie maybe),ahpō.mp3
ahtastā,Place it elsewhere,ahtastā.mp3
ahtoskēwo’ kamik,The band office,ahtoskēwo’_kamik.mp3
akahkway,Blood sucker,akahkway.mp3
akahkwayak,"blood suckers, leeches; snails",akahkwayak.mp3
akawatamowin,A wish,akawatamowin.mp3
akayāsemoh,Speak English!,akayāsemoh.mp3
akayāsemōwin,The act of speaking English,akayāsemōwin.mp3
akāwācikēwin,The act of being enticed by something or someone,akāwācikēwin.mp3
akāwāstēskamok,All of you shade it by standing before it.,akāwāstēskamok.mp3
akihchike,Count!,akihchike.mp3
akihcikēwin,The act of Performing calculations; numerations.,akihcikēwin.mp3
akihta,Count those things,akihta.mp3
akihtamaw,Count for him!,akihtamaw.mp3
akihtāsowin,"A Number, A figure",akihtāsowin.mp3
akihtāsōna,"Numbers, figures",akihtāsōna.mp3
akim,Count them!,akim.mp3
akos,Hang him.,akos.mp3
akoskôwahchikē,Glue things together.,akoskôwahchikē.mp3
akotā,Hang it.,akotā.mp3
akotā,hang it up,akotā.mp3
akwaha,pin it (assumes to the wall),akwaha.mp3
akwahpisōwin,A act of putting on a bandage,akwahpisōwin.mp3
akwamohcikēwin,The act of applying something,akwamohcikēwin.mp3
akwana,Cover him!,akwana.mp3
akwanahikana,"covers (for something,could be for pots)",akwanahikana.mp3
akwānahā,Cover it.,akwānahā.mp3
akwâna,Take it out of the liquid,akwâna.mp3
amaciwēnēkānohtēwin,Leading the way up,amaciwēnēkānohtēwin.mp3
amisk,A Beaver,amisk.mp3
amiskosākahikan,Beaver Lake,amiskosākahikan.mp3
amiskwak,beaver (more than one),amiskwak.mp3
amiskwayān,beaver pelt,amiskwayān.mp3
amiskwayāna,Beaver Pelts,amiskwayāna.mp3
amiskwayiwa,Beaver tails,amiskwayiwa.mp3
anāskāna,Sheets,anāskāna.mp3
anikwacās,squirrel,anikwacās.mp3
aniskamanak,Buttons,aniskamanak.mp3
apacihcikan,something useful,apacihcikan.mp3
apacikcikana,tools,apacikcikana.mp3
apahkwācēsak,Bats,apahkwācēsak.mp3
apāchih,"Use it, as in an animate object.",apāchih.mp3
apēhtāwsēyaw,A waist or mid-section of human body,apēhtāwsēyaw.mp3
apēw’ kamik,a living room,apēw’_kamik.mp3
apih,sit!,apih.mp3
apihkāta,Braid it.,apihkāta.mp3
apihkē,Make a braid (or braids),apihkē.mp3
apihkēwin,weaving,apihkēwin.mp3
apihkēwina,braids,apihkēwina.mp3
apihtāpiw,He has a black (bruised) eye.,apihtāpiw.mp3
apik,All sit.,apik.mp3
apiscacihkos,Pronghorn,apiscacihkos.mp3
apisesiw,He is small.,apisesiw.mp3
apisēsiw,He is small.,apisēsiw.mp3
apitān,Let’s sit down.,apitān.mp3
aposōyahtikwa,Teepee Poles,aposōyahtikwa.mp3
apoy,A Paddle,apoy.mp3
apoyak,Shovels or (paddles for rowing),apoyak.mp3
apwēsiwin,"Being sweaty, Perspiration",apwēsiwin.mp3
asahpicēkēwin,"An act of bindings, the act of makingbundles.",asahpicēkēwin.mp3
asam,Feed him/them,asam.mp3
asamās,Feed him a little,asamās.mp3
asamāw,He is fed.,asamāw.mp3
asamēna,again,asamēna.mp3
asawāpam,Be on the look out for him.,asawāpam.mp3
asāhpis,Tie them together.,asāhpis.mp3
asci,"also, too",asci.mp3
asēn,refuse him or do not take him,asēn.mp3
asēna,refuse it,asēna.mp3
asēpita,pull it backwards,asēpita.mp3
asēsina,"the front upper part of a moccosin, s vamp or tongue",asēsina.mp3
asikan,A sock,asikan.mp3
